LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
17037,YOUNG FAMILIES,Mainstream
17038,RETIREES,Mainstream
17039,YOUNG SINGLES/COUPLES,Budget
17040,RETIREES,Budget
17041,OLDER FAMILIES,Mainstream
17043,YOUNG SINGLES/COUPLES,Mainstream
17044,OLDER SINGLES/COUPLES,Premium
17045,YOUNG SINGLES/COUPLES,Budget
17046,RETIREES,Budget
17047,RETIREES,Budget
17048,OLDER FAMILIES,Budget
17049,RETIREES,Premium
17050,YOUNG SINGLES/COUPLES,Mainstream
17052,YOUNG SINGLES/COUPLES,Mainstream
17053,OLDER FAMILIES,Budget
17054,RETIREES,Budget
17055,OLDER SINGLES/COUPLES,Budget
17056,OLDER FAMILIES,Budget
17057,YOUNG FAMILIES,Budget
17058,OLDER SINGLES/COUPLES,Premium
17059,MIDAGE SINGLES/COUPLES,Mainstream
17060,MIDAGE SINGLES/COUPLES,Mainstream
17061,YOUNG FAMILIES,Mainstream
17062,OLDER FAMILIES,Budget
17063,YOUNG FAMILIES,Premium
17064,YOUNG SINGLES/COUPLES,Premium
17065,YOUNG FAMILIES,Mainstream
17066,YOUNG FAMILIES,Budget
17068,OLDER SINGLES/COUPLES,Budget
17069,YOUNG SINGLES/COUPLES,Budget
17070,OLDER SINGLES/COUPLES,Premium
17072,YOUNG SINGLES/COUPLES,Mainstream
17073,YOUNG FAMILIES,Budget
17074,YOUNG SINGLES/COUPLES,Mainstream
17075,YOUNG SINGLES/COUPLES,Mainstream
17076,OLDER SINGLES/COUPLES,Mainstream
17077,RETIREES,Premium
17078,MIDAGE SINGLES/COUPLES,Premium
17079,YOUNG FAMILIES,Premium
17080,YOUNG SINGLES/COUPLES,Mainstream
17081,RETIREES,Mainstream
17082,OLDER FAMILIES,Premium
17083,YOUNG FAMILIES,Budget
17084,OLDER FAMILIES,Premium
17085,YOUNG SINGLES/COUPLES,Premium
17086,OLDER FAMILIES,Budget
17088,YOUNG SINGLES/COUPLES,Mainstream
17091,YOUNG FAMILIES,Budget
17093,YOUNG SINGLES/COUPLES,Mainstream
17094,YOUNG SINGLES/COUPLES,Mainstream
17095,MIDAGE SINGLES/COUPLES,Mainstream
17096,MIDAGE SINGLES/COUPLES,Budget
17098,YOUNG SINGLES/COUPLES,Mainstream
17099,RETIREES,Budget
17100,YOUNG SINGLES/COUPLES,Mainstream
17101,MIDAGE SINGLES/COUPLES,Mainstream
17102,RETIREES,Mainstream
17103,YOUNG FAMILIES,Budget
17106,YOUNG SINGLES/COUPLES,Premium
17107,MIDAGE SINGLES/COUPLES,Premium
17109,YOUNG SINGLES/COUPLES,Mainstream
17110,OLDER SINGLES/COUPLES,Premium
17111,YOUNG SINGLES/COUPLES,Mainstream
17113,YOUNG SINGLES/COUPLES,Premium
17115,RETIREES,Budget
17117,YOUNG SINGLES/COUPLES,Mainstream
17118,RETIREES,Mainstream
17119,YOUNG SINGLES/COUPLES,Mainstream
17120,OLDER FAMILIES,Budget
17121,RETIREES,Mainstream
17122,RETIREES,Mainstream
17123,YOUNG FAMILIES,Budget
17125,YOUNG SINGLES/COUPLES,Mainstream
17127,MIDAGE SINGLES/COUPLES,Mainstream
17128,RETIREES,Budget
17129,YOUNG SINGLES/COUPLES,Mainstream
17131,RETIREES,Mainstream
17132,RETIREES,Premium
17133,YOUNG SINGLES/COUPLES,Mainstream
17134,YOUNG SINGLES/COUPLES,Mainstream
17135,MIDAGE SINGLES/COUPLES,Premium
17136,OLDER SINGLES/COUPLES,Premium
17137,OLDER FAMILIES,Premium
17138,YOUNG SINGLES/COUPLES,Budget
17139,YOUNG FAMILIES,Budget
17141,MIDAGE SINGLES/COUPLES,Premium
17142,RETIREES,Mainstream
17143,YOUNG FAMILIES,Premium
17144,YOUNG SINGLES/COUPLES,Mainstream
17145,YOUNG SINGLES/COUPLES,Mainstream
17146,OLDER SINGLES/COUPLES,Mainstream
17147,MIDAGE SINGLES/COUPLES,Mainstream
17148,YOUNG SINGLES/COUPLES,Mainstream
17150,NEW FAMILIES,Budget
17151,YOUNG SINGLES/COUPLES,Mainstream
17152,YOUNG FAMILIES,Budget
17153,YOUNG SINGLES/COUPLES,Mainstream
17154,RETIREES,Premium
17155,RETIREES,Mainstream
17156,YOUNG SINGLES/COUPLES,Budget
17157,RETIREES,Budget
17159,OLDER FAMILIES,Budget
17160,YOUNG FAMILIES,Budget
17161,OLDER FAMILIES,Premium
17162,RETIREES,Budget
17164,YOUNG FAMILIES,Budget
17165,OLDER FAMILIES,Budget
17166,YOUNG SINGLES/COUPLES,Premium
17167,YOUNG SINGLES/COUPLES,Mainstream
17168,RETIREES,Budget
17169,YOUNG SINGLES/COUPLES,Budget
17170,OLDER FAMILIES,Budget
17171,YOUNG SINGLES/COUPLES,Premium
17176,YOUNG FAMILIES,Mainstream
17177,MIDAGE SINGLES/COUPLES,Mainstream
17178,YOUNG SINGLES/COUPLES,Mainstream
17179,RETIREES,Mainstream
17180,RETIREES,Premium
17182,OLDER SINGLES/COUPLES,Premium
17183,RETIREES,Budget
17184,NEW FAMILIES,Mainstream
17185,OLDER FAMILIES,Budget
17186,YOUNG FAMILIES,Mainstream
17187,NEW FAMILIES,Premium
17188,MIDAGE SINGLES/COUPLES,Premium
17190,YOUNG SINGLES/COUPLES,Mainstream
17192,YOUNG SINGLES/COUPLES,Mainstream
17194,OLDER SINGLES/COUPLES,Mainstream
17195,YOUNG SINGLES/COUPLES,Mainstream
17196,RETIREES,Budget
17197,MIDAGE SINGLES/COUPLES,Mainstream
17199,YOUNG FAMILIES,Budget
17201,RETIREES,Budget
17202,YOUNG SINGLES/COUPLES,Mainstream
17204,NEW FAMILIES,Budget
17205,RETIREES,Budget
17206,OLDER SINGLES/COUPLES,Premium
17210,RETIREES,Mainstream
17211,OLDER FAMILIES,Budget
17213,OLDER SINGLES/COUPLES,Premium
17214,OLDER SINGLES/COUPLES,Mainstream
17215,YOUNG FAMILIES,Budget
17216,YOUNG SINGLES/COUPLES,Mainstream
17218,YOUNG SINGLES/COUPLES,Mainstream
17222,OLDER SINGLES/COUPLES,Premium
17223,YOUNG SINGLES/COUPLES,Mainstream
17225,YOUNG SINGLES/COUPLES,Mainstream
17226,YOUNG SINGLES/COUPLES,Budget
17227,OLDER SINGLES/COUPLES,Mainstream
17228,YOUNG SINGLES/COUPLES,Budget
17230,OLDER SINGLES/COUPLES,Mainstream
17231,OLDER SINGLES/COUPLES,Mainstream
17232,OLDER SINGLES/COUPLES,Mainstream
17233,NEW FAMILIES,Premium
17235,RETIREES,Premium
17237,OLDER SINGLES/COUPLES,Mainstream
17238,OLDER SINGLES/COUPLES,Mainstream
17239,OLDER SINGLES/COUPLES,Premium
17240,YOUNG SINGLES/COUPLES,Premium
17242,OLDER SINGLES/COUPLES,Budget
17246,OLDER FAMILIES,Budget
17247,YOUNG SINGLES/COUPLES,Mainstream
17248,YOUNG SINGLES/COUPLES,Budget
17249,YOUNG SINGLES/COUPLES,Premium
17250,YOUNG SINGLES/COUPLES,Mainstream
17251,YOUNG SINGLES/COUPLES,Mainstream
17252,OLDER SINGLES/COUPLES,Mainstream
17253,YOUNG FAMILIES,Premium
17254,RETIREES,Budget
17256,OLDER FAMILIES,Mainstream
17257,OLDER FAMILIES,Budget
17258,YOUNG SINGLES/COUPLES,Mainstream
17259,YOUNG SINGLES/COUPLES,Mainstream
17260,YOUNG SINGLES/COUPLES,Mainstream
17261,YOUNG SINGLES/COUPLES,Mainstream
17264,RETIREES,Premium
17266,YOUNG SINGLES/COUPLES,Mainstream
17267,RETIREES,Mainstream
17269,RETIREES,Budget
17270,OLDER SINGLES/COUPLES,Premium
17271,YOUNG SINGLES/COUPLES,Mainstream
17272,YOUNG SINGLES/COUPLES,Mainstream
17273,MIDAGE SINGLES/COUPLES,Mainstream
17274,YOUNG SINGLES/COUPLES,Budget
17275,YOUNG FAMILIES,Premium
17276,YOUNG FAMILIES,Budget
17277,RETIREES,Premium
17278,YOUNG SINGLES/COUPLES,Premium
17279,RETIREES,Mainstream
17280,YOUNG SINGLES/COUPLES,Mainstream
17281,YOUNG SINGLES/COUPLES,Budget
17282,RETIREES,Budget
17283,RETIREES,Budget
17285,NEW FAMILIES,Mainstream
17286,OLDER SINGLES/COUPLES,Premium
17288,YOUNG SINGLES/COUPLES,Budget
17289,OLDER SINGLES/COUPLES,Premium
17290,MIDAGE SINGLES/COUPLES,Mainstream
17293,RETIREES,Premium
17294,MIDAGE SINGLES/COUPLES,Budget
17295,YOUNG SINGLES/COUPLES,Mainstream
17296,RETIREES,Premium
17297,OLDER FAMILIES,Budget
17298,YOUNG FAMILIES,Mainstream
17299,OLDER SINGLES/COUPLES,Budget
17300,OLDER SINGLES/COUPLES,Premium
17301,OLDER SINGLES/COUPLES,Budget
17302,OLDER FAMILIES,Budget
17303,RETIREES,Mainstream
17305,OLDER SINGLES/COUPLES,Mainstream
17306,OLDER FAMILIES,Budget
17307,YOUNG SINGLES/COUPLES,Mainstream
17308,YOUNG SINGLES/COUPLES,Budget
17311,YOUNG SINGLES/COUPLES,Mainstream
17313,RETIREES,Premium
17314,OLDER SINGLES/COUPLES,Budget
17315,YOUNG SINGLES/COUPLES,Premium
17316,RETIREES,Budget
17317,RETIREES,Budget
17319,NEW FAMILIES,Budget
17320,OLDER SINGLES/COUPLES,Budget
17321,MIDAGE SINGLES/COUPLES,Premium
17322,YOUNG SINGLES/COUPLES,Mainstream
17323,YOUNG SINGLES/COUPLES,Mainstream
17324,MIDAGE SINGLES/COUPLES,Premium
17325,OLDER SINGLES/COUPLES,Budget
17327,YOUNG FAMILIES,Mainstream
17328,OLDER SINGLES/COUPLES,Mainstream
17329,YOUNG FAMILIES,Mainstream
17330,OLDER SINGLES/COUPLES,Budget
17331,OLDER FAMILIES,Premium
17332,RETIREES,Mainstream
17334,OLDER SINGLES/COUPLES,Premium
17335,RETIREES,Budget
17336,YOUNG SINGLES/COUPLES,Mainstream
17338,YOUNG SINGLES/COUPLES,Mainstream
17339,RETIREES,Premium
17340,MIDAGE SINGLES/COUPLES,Premium
17342,OLDER SINGLES/COUPLES,Premium
17343,RETIREES,Premium
17344,OLDER FAMILIES,Premium
17346,RETIREES,Premium
17347,YOUNG SINGLES/COUPLES,Mainstream
17349,OLDER FAMILIES,Premium
17351,OLDER SINGLES/COUPLES,Budget
17352,RETIREES,Budget
17353,RETIREES,Budget
17354,RETIREES,Budget
17356,OLDER SINGLES/COUPLES,Premium
17357,YOUNG SINGLES/COUPLES,Mainstream
17358,YOUNG SINGLES/COUPLES,Mainstream
17360,RETIREES,Mainstream
17361,YOUNG SINGLES/COUPLES,Premium
17362,RETIREES,Budget
17363,YOUNG SINGLES/COUPLES,Premium
17364,OLDER FAMILIES,Mainstream
17366,YOUNG SINGLES/COUPLES,Mainstream
17367,OLDER FAMILIES,Budget
17368,RETIREES,Mainstream
17369,NEW FAMILIES,Budget
17371,YOUNG SINGLES/COUPLES,Mainstream
17372,RETIREES,Budget
17373,RETIREES,Mainstream
17376,OLDER SINGLES/COUPLES,Mainstream
17377,YOUNG SINGLES/COUPLES,Mainstream
17378,RETIREES,Premium
17379,RETIREES,Mainstream
18000,YOUNG SINGLES/COUPLES,Premium
18001,YOUNG SINGLES/COUPLES,Mainstream
18002,YOUNG SINGLES/COUPLES,Mainstream
18004,OLDER SINGLES/COUPLES,Mainstream
18005,NEW FAMILIES,Budget
18006,OLDER FAMILIES,Budget
18009,OLDER SINGLES/COUPLES,Premium
18010,OLDER SINGLES/COUPLES,Mainstream
18012,RETIREES,Budget
18013,RETIREES,Mainstream
18014,NEW FAMILIES,Budget
18015,RETIREES,Mainstream
18016,RETIREES,Mainstream
18017,OLDER SINGLES/COUPLES,Mainstream
18019,OLDER SINGLES/COUPLES,Premium
18020,MIDAGE SINGLES/COUPLES,Budget
18022,NEW FAMILIES,Budget
18023,YOUNG SINGLES/COUPLES,Budget
18024,RETIREES,Budget
18025,OLDER SINGLES/COUPLES,Budget
18029,YOUNG SINGLES/COUPLES,Budget
18031,YOUNG SINGLES/COUPLES,Mainstream
18032,RETIREES,Premium
18033,OLDER FAMILIES,Budget
18034,MIDAGE SINGLES/COUPLES,Premium
18036,YOUNG SINGLES/COUPLES,Premium
18039,YOUNG SINGLES/COUPLES,Budget
18040,OLDER FAMILIES,Budget
18042,YOUNG SINGLES/COUPLES,Budget
18043,OLDER SINGLES/COUPLES,Budget
18044,YOUNG SINGLES/COUPLES,Budget
18045,OLDER SINGLES/COUPLES,Premium
18046,RETIREES,Budget
18047,YOUNG SINGLES/COUPLES,Mainstream
18048,YOUNG SINGLES/COUPLES,Mainstream
18050,OLDER SINGLES/COUPLES,Mainstream
18051,RETIREES,Premium
18052,RETIREES,Budget
18053,OLDER FAMILIES,Mainstream
18056,OLDER SINGLES/COUPLES,Budget
18057,YOUNG SINGLES/COUPLES,Budget
18059,YOUNG SINGLES/COUPLES,Budget
18061,YOUNG FAMILIES,Budget
18062,OLDER SINGLES/COUPLES,Premium
18063,RETIREES,Premium
18064,RETIREES,Premium
18065,OLDER FAMILIES,Mainstream
18067,MIDAGE SINGLES/COUPLES,Mainstream
18068,NEW FAMILIES,Premium
18070,OLDER SINGLES/COUPLES,Budget
18071,MIDAGE SINGLES/COUPLES,Mainstream
18072,OLDER FAMILIES,Premium
18073,MIDAGE SINGLES/COUPLES,Mainstream
18074,RETIREES,Budget
18075,OLDER SINGLES/COUPLES,Mainstream
18076,YOUNG FAMILIES,Budget
18077,OLDER SINGLES/COUPLES,Mainstream
18079,YOUNG SINGLES/COUPLES,Budget
18080,MIDAGE SINGLES/COUPLES,Budget
18081,YOUNG SINGLES/COUPLES,Mainstream
18082,OLDER FAMILIES,Mainstream
18083,YOUNG SINGLES/COUPLES,Budget
18085,YOUNG SINGLES/COUPLES,Mainstream
18086,YOUNG SINGLES/COUPLES,Mainstream
18087,NEW FAMILIES,Budget
18088,YOUNG FAMILIES,Mainstream
18089,NEW FAMILIES,Budget
18090,YOUNG FAMILIES,Premium
18091,OLDER SINGLES/COUPLES,Premium
18092,RETIREES,Budget
18093,YOUNG SINGLES/COUPLES,Mainstream
18094,RETIREES,Budget
18096,NEW FAMILIES,Mainstream
18097,RETIREES,Mainstream
18098,YOUNG FAMILIES,Budget
18099,RETIREES,Mainstream
18101,NEW FAMILIES,Premium
18102,YOUNG SINGLES/COUPLES,Mainstream
18103,YOUNG FAMILIES,Mainstream
18104,RETIREES,Mainstream
18106,OLDER SINGLES/COUPLES,Premium
18107,OLDER SINGLES/COUPLES,Mainstream
18108,RETIREES,Budget
18109,RETIREES,Budget
18110,YOUNG FAMILIES,Premium
18111,RETIREES,Premium
18112,YOUNG SINGLES/COUPLES,Premium
18115,YOUNG FAMILIES,Mainstream
18117,RETIREES,Premium
18119,MIDAGE SINGLES/COUPLES,Mainstream
18120,OLDER SINGLES/COUPLES,Premium
18121,OLDER SINGLES/COUPLES,Mainstream
18122,YOUNG SINGLES/COUPLES,Mainstream
18123,YOUNG SINGLES/COUPLES,Mainstream
18126,OLDER SINGLES/COUPLES,Mainstream
18127,RETIREES,Premium
18131,RETIREES,Mainstream
18133,YOUNG FAMILIES,Mainstream
18134,YOUNG SINGLES/COUPLES,Premium
18135,YOUNG SINGLES/COUPLES,Mainstream
18136,YOUNG FAMILIES,Premium
18138,RETIREES,Budget
18142,YOUNG FAMILIES,Budget
18143,MIDAGE SINGLES/COUPLES,Premium
18144,YOUNG SINGLES/COUPLES,Premium
18145,OLDER SINGLES/COUPLES,Mainstream
18148,OLDER SINGLES/COUPLES,Mainstream
18149,YOUNG SINGLES/COUPLES,Premium
18150,YOUNG SINGLES/COUPLES,Mainstream
18151,OLDER SINGLES/COUPLES,Mainstream
18152,YOUNG SINGLES/COUPLES,Mainstream
18153,RETIREES,Budget
18154,OLDER FAMILIES,Mainstream
18155,YOUNG SINGLES/COUPLES,Mainstream
18156,YOUNG SINGLES/COUPLES,Premium
18157,OLDER SINGLES/COUPLES,Budget
18159,YOUNG SINGLES/COUPLES,Premium
18160,YOUNG SINGLES/COUPLES,Mainstream
18161,MIDAGE SINGLES/COUPLES,Premium
18162,OLDER SINGLES/COUPLES,Premium
18163,YOUNG SINGLES/COUPLES,Budget
18164,RETIREES,Mainstream
18165,OLDER SINGLES/COUPLES,Mainstream
18167,OLDER SINGLES/COUPLES,Mainstream
18168,RETIREES,Mainstream
18170,MIDAGE SINGLES/COUPLES,Budget
18171,YOUNG SINGLES/COUPLES,Mainstream
18172,OLDER FAMILIES,Budget
18174,NEW FAMILIES,Mainstream
18176,NEW FAMILIES,Premium
18177,OLDER SINGLES/COUPLES,Budget
18178,MIDAGE SINGLES/COUPLES,Mainstream
18179,OLDER SINGLES/COUPLES,Budget
18181,YOUNG SINGLES/COUPLES,Mainstream
18184,YOUNG SINGLES/COUPLES,Budget
18185,MIDAGE SINGLES/COUPLES,Premium
18187,YOUNG SINGLES/COUPLES,Mainstream
18188,OLDER SINGLES/COUPLES,Budget
18190,YOUNG SINGLES/COUPLES,Premium
18191,YOUNG FAMILIES,Premium
18192,MIDAGE SINGLES/COUPLES,Budget
18193,OLDER SINGLES/COUPLES,Premium
18195,YOUNG SINGLES/COUPLES,Budget
18197,OLDER FAMILIES,Premium
18201,OLDER SINGLES/COUPLES,Budget
18203,RETIREES,Mainstream
18207,RETIREES,Mainstream
18210,OLDER SINGLES/COUPLES,Budget
18212,MIDAGE SINGLES/COUPLES,Premium
18214,RETIREES,Mainstream
18215,OLDER SINGLES/COUPLES,Premium
18216,YOUNG SINGLES/COUPLES,Budget
18218,OLDER FAMILIES,Premium
18219,YOUNG FAMILIES,Budget
18220,NEW FAMILIES,Premium
18221,MIDAGE SINGLES/COUPLES,Premium
18222,OLDER SINGLES/COUPLES,Budget
18224,OLDER SINGLES/COUPLES,Premium
18225,OLDER SINGLES/COUPLES,Premium
18226,RETIREES,Budget
18227,OLDER SINGLES/COUPLES,Premium
18228,OLDER FAMILIES,Budget
18230,RETIREES,Budget
18231,OLDER SINGLES/COUPLES,Mainstream
18232,OLDER SINGLES/COUPLES,Premium
18233,OLDER SINGLES/COUPLES,Budget
18234,MIDAGE SINGLES/COUPLES,Budget
18236,YOUNG SINGLES/COUPLES,Mainstream
18237,RETIREES,Premium
18239,YOUNG SINGLES/COUPLES,Budget
18244,RETIREES,Premium
18246,NEW FAMILIES,Premium
18247,RETIREES,Mainstream
18248,RETIREES,Premium
18249,MIDAGE SINGLES/COUPLES,Premium
18250,YOUNG SINGLES/COUPLES,Mainstream
18251,RETIREES,Mainstream
18252,YOUNG SINGLES/COUPLES,Premium
18256,RETIREES,Mainstream
18258,YOUNG FAMILIES,Premium
18260,YOUNG SINGLES/COUPLES,Budget
18261,NEW FAMILIES,Premium
18263,YOUNG SINGLES/COUPLES,Mainstream
18265,YOUNG FAMILIES,Budget
18266,OLDER FAMILIES,Budget
18268,YOUNG SINGLES/COUPLES,Mainstream
18269,RETIREES,Premium
18270,OLDER SINGLES/COUPLES,Budget
18271,MIDAGE SINGLES/COUPLES,Mainstream
18272,OLDER SINGLES/COUPLES,Premium
18273,OLDER FAMILIES,Premium
18274,MIDAGE SINGLES/COUPLES,Mainstream
18275,OLDER FAMILIES,Mainstream
18276,OLDER SINGLES/COUPLES,Premium
18277,OLDER FAMILIES,Premium
18278,YOUNG SINGLES/COUPLES,Premium
18279,OLDER FAMILIES,Budget
18280,RETIREES,Budget
18281,RETIREES,Budget
18282,OLDER SINGLES/COUPLES,Premium
18284,RETIREES,Mainstream
18285,MIDAGE SINGLES/COUPLES,Mainstream
18286,MIDAGE SINGLES/COUPLES,Premium
18289,OLDER SINGLES/COUPLES,Premium
18290,RETIREES,Mainstream
18291,YOUNG SINGLES/COUPLES,Premium
18292,YOUNG SINGLES/COUPLES,Premium
18294,YOUNG SINGLES/COUPLES,Premium
18295,YOUNG SINGLES/COUPLES,Mainstream
18296,OLDER FAMILIES,Budget
18297,OLDER SINGLES/COUPLES,Premium
18301,YOUNG FAMILIES,Budget
18302,OLDER SINGLES/COUPLES,Budget
18304,YOUNG FAMILIES,Budget
18305,OLDER FAMILIES,Budget
18307,MIDAGE SINGLES/COUPLES,Mainstream
18308,YOUNG FAMILIES,Budget
18309,YOUNG FAMILIES,Premium
18310,OLDER SINGLES/COUPLES,Mainstream
18312,OLDER SINGLES/COUPLES,Mainstream
18314,RETIREES,Mainstream
18315,RETIREES,Mainstream
18317,OLDER SINGLES/COUPLES,Premium
18320,OLDER SINGLES/COUPLES,Premium
18321,YOUNG SINGLES/COUPLES,Mainstream
18322,OLDER FAMILIES,Budget
18323,OLDER FAMILIES,Premium
18325,YOUNG SINGLES/COUPLES,Mainstream
18328,YOUNG SINGLES/COUPLES,Budget
18329,OLDER SINGLES/COUPLES,Premium
18330,YOUNG SINGLES/COUPLES,Mainstream
18331,YOUNG SINGLES/COUPLES,Premium
18332,OLDER FAMILIES,Mainstream
18333,YOUNG SINGLES/COUPLES,Mainstream
18334,YOUNG FAMILIES,Budget
18335,OLDER SINGLES/COUPLES,Mainstream
18337,YOUNG FAMILIES,Budget
18338,YOUNG FAMILIES,Budget
18339,RETIREES,Budget
18340,RETIREES,Budget
18341,RETIREES,Budget
18342,YOUNG SINGLES/COUPLES,Budget
18343,MIDAGE SINGLES/COUPLES,Mainstream
18346,YOUNG SINGLES/COUPLES,Mainstream
18347,YOUNG SINGLES/COUPLES,Premium
18348,YOUNG SINGLES/COUPLES,Mainstream
18349,OLDER SINGLES/COUPLES,Premium
18350,MIDAGE SINGLES/COUPLES,Premium
18351,RETIREES,Budget
18352,RETIREES,Mainstream
18353,RETIREES,Budget
18357,NEW FAMILIES,Budget
18358,RETIREES,Mainstream
18360,YOUNG SINGLES/COUPLES,Premium
18361,NEW FAMILIES,Budget
18362,YOUNG SINGLES/COUPLES,Mainstream
18363,NEW FAMILIES,Mainstream
18364,YOUNG SINGLES/COUPLES,Mainstream
18365,YOUNG SINGLES/COUPLES,Mainstream
18368,OLDER SINGLES/COUPLES,Premium
18369,OLDER SINGLES/COUPLES,Budget
18370,YOUNG SINGLES/COUPLES,Premium
18371,RETIREES,Mainstream
18372,YOUNG SINGLES/COUPLES,Mainstream
18373,RETIREES,Budget
18374,MIDAGE SINGLES/COUPLES,Premium
18376,YOUNG FAMILIES,Mainstream
18377,RETIREES,Mainstream
18379,OLDER FAMILIES,Budget
18380,YOUNG SINGLES/COUPLES,Mainstream
18382,YOUNG SINGLES/COUPLES,Budget
18385,OLDER SINGLES/COUPLES,Premium
18386,OLDER SINGLES/COUPLES,Premium
18388,YOUNG FAMILIES,Budget
18391,OLDER FAMILIES,Budget
18392,MIDAGE SINGLES/COUPLES,Mainstream
18395,MIDAGE SINGLES/COUPLES,Premium
18396,RETIREES,Budget
18398,YOUNG SINGLES/COUPLES,Mainstream
18400,OLDER SINGLES/COUPLES,Mainstream
18402,YOUNG SINGLES/COUPLES,Mainstream
18403,NEW FAMILIES,Premium
18408,YOUNG SINGLES/COUPLES,Budget
18409,OLDER FAMILIES,Premium
18411,YOUNG SINGLES/COUPLES,Budget
18412,YOUNG SINGLES/COUPLES,Budget
18413,YOUNG FAMILIES,Budget
18415,RETIREES,Premium
18416,NEW FAMILIES,Budget
18417,RETIREES,Premium
18418,RETIREES,Premium
18419,YOUNG SINGLES/COUPLES,Premium
18420,OLDER SINGLES/COUPLES,Budget
18422,YOUNG FAMILIES,Budget
18424,YOUNG SINGLES/COUPLES,Budget
18426,OLDER SINGLES/COUPLES,Mainstream
18427,OLDER SINGLES/COUPLES,Budget
18429,OLDER SINGLES/COUPLES,Premium
18430,YOUNG FAMILIES,Mainstream
18431,OLDER SINGLES/COUPLES,Budget
18434,OLDER FAMILIES,Budget
18435,NEW FAMILIES,Mainstream
18436,YOUNG FAMILIES,Premium
18439,MIDAGE SINGLES/COUPLES,Budget
18440,YOUNG SINGLES/COUPLES,Mainstream
18441,OLDER SINGLES/COUPLES,Premium
18444,NEW FAMILIES,Budget
18445,RETIREES,Mainstream
18447,YOUNG FAMILIES,Budget
18449,OLDER SINGLES/COUPLES,Mainstream
18450,OLDER SINGLES/COUPLES,Premium
18451,YOUNG SINGLES/COUPLES,Mainstream
18452,OLDER FAMILIES,Mainstream
18453,OLDER FAMILIES,Premium
18456,OLDER SINGLES/COUPLES,Budget
18457,YOUNG FAMILIES,Budget
18458,RETIREES,Mainstream
18459,YOUNG FAMILIES,Premium
18460,OLDER SINGLES/COUPLES,Premium
18461,MIDAGE SINGLES/COUPLES,Premium
18463,YOUNG SINGLES/COUPLES,Budget
18464,YOUNG SINGLES/COUPLES,Mainstream
18466,RETIREES,Premium
18467,YOUNG SINGLES/COUPLES,Mainstream
18468,MIDAGE SINGLES/COUPLES,Mainstream
18470,YOUNG SINGLES/COUPLES,Premium
18471,YOUNG SINGLES/COUPLES,Mainstream
18473,YOUNG SINGLES/COUPLES,Mainstream
18475,OLDER SINGLES/COUPLES,Mainstream
18476,OLDER SINGLES/COUPLES,Budget
18477,OLDER SINGLES/COUPLES,Budget
18478,YOUNG SINGLES/COUPLES,Budget
18479,YOUNG SINGLES/COUPLES,Mainstream
18480,YOUNG FAMILIES,Mainstream
18482,NEW FAMILIES,Budget
18485,RETIREES,Mainstream
18487,NEW FAMILIES,Budget
19000,OLDER SINGLES/COUPLES,Premium
19001,OLDER FAMILIES,Mainstream
19002,OLDER SINGLES/COUPLES,Budget
19003,OLDER SINGLES/COUPLES,Budget
19004,YOUNG FAMILIES,Mainstream
19005,RETIREES,Budget
19006,RETIREES,Mainstream
19007,MIDAGE SINGLES/COUPLES,Mainstream
19008,RETIREES,Budget
19009,RETIREES,Budget
19010,OLDER SINGLES/COUPLES,Mainstream
19011,MIDAGE SINGLES/COUPLES,Mainstream
19012,RETIREES,Budget
19013,OLDER SINGLES/COUPLES,Budget
19015,RETIREES,Budget
19016,YOUNG SINGLES/COUPLES,Mainstream
19017,YOUNG FAMILIES,Mainstream
19018,YOUNG SINGLES/COUPLES,Budget
19019,YOUNG SINGLES/COUPLES,Budget
19020,YOUNG SINGLES/COUPLES,Mainstream
19021,RETIREES,Mainstream
19022,RETIREES,Budget
19023,YOUNG FAMILIES,Budget
19024,MIDAGE SINGLES/COUPLES,Budget
19025,RETIREES,Mainstream
19026,YOUNG SINGLES/COUPLES,Mainstream
19027,RETIREES,Budget
19028,RETIREES,Premium
19029,YOUNG SINGLES/COUPLES,Mainstream
19030,RETIREES,Mainstream
19031,OLDER SINGLES/COUPLES,Premium
19032,RETIREES,Mainstream
19033,OLDER FAMILIES,Budget
19034,YOUNG FAMILIES,Budget
19035,OLDER SINGLES/COUPLES,Budget
19036,OLDER SINGLES/COUPLES,Premium
19037,YOUNG FAMILIES,Budget
19038,RETIREES,Budget
19039,RETIREES,Mainstream
19041,RETIREES,Budget
19042,RETIREES,Mainstream
19043,OLDER FAMILIES,Premium
19044,YOUNG SINGLES/COUPLES,Budget
19045,MIDAGE SINGLES/COUPLES,Mainstream
19046,OLDER FAMILIES,Budget
19047,YOUNG FAMILIES,Budget
19048,RETIREES,Budget
19049,OLDER SINGLES/COUPLES,Budget
19050,OLDER SINGLES/COUPLES,Premium
19052,RETIREES,Mainstream
19053,OLDER FAMILIES,Budget
19054,NEW FAMILIES,Budget
19055,YOUNG SINGLES/COUPLES,Mainstream
19056,RETIREES,Premium
19057,OLDER FAMILIES,Budget
19058,MIDAGE SINGLES/COUPLES,Budget
19059,MIDAGE SINGLES/COUPLES,Mainstream
19060,OLDER SINGLES/COUPLES,Premium
19061,YOUNG SINGLES/COUPLES,Mainstream
19062,YOUNG SINGLES/COUPLES,Premium
19063,YOUNG SINGLES/COUPLES,Mainstream
19064,YOUNG SINGLES/COUPLES,Mainstream
